lea_id,district_name,urban_centric_locale,number_of_schools_in_district,enrollment,pre_k_teachers,kindergarten_teachers,elementary_teachers,secondary_teachers,total_teachers,student_teacher_ratio,instructional_aides,guidance_counselors,student_guidance_counselor_ratio,librarian_total,student_librarian_ratio,total_staff,district_expense_total,expenses_for_instruction,salaries_total,salaries_instruction,instruction_salary_percent_of_total,per_student_expenditure,per_teacher_salary_expenses
2511970,Walpole,Large Suburb,8,3753,5,17,183,86,292,12.85,72,12,312.75,2,1876.5,500,70129000,41236000,40823000,28924000,70.85,18686.12,99054.79
2512000,Waltham,Small City,10,5633,9,34,325,145,515,10.94,128,11,512.09,8,704.13,855,138038000,79419000,74692000,49804000,66.68,24505.24,96706.8
2512030,Ware,Rural (fringe),3,1189,3,5,44,39,92,12.92,43,2,594.5,3,396.33,177,21661000,11411000,10824000,7643000,70.61,18217.83,83076.09
2512060,Wareham,Midsize Suburb,5,2126,4,12,99,60,177,12.01,65,7,303.71,0,,324,59337000,26864000,25731000,16011000,62.22,27910.16,90457.63
2512100,Quaboag Regional,Rural (fringe),4,1303,1,6,63,30,101,12.9,36,4,325.75,0,,188,21716000,12012000,11793000,7988000,67.74,16666.16,79089.11
2512180,Watertown,Large Suburb,5,2608,10,17,164,69,262,9.95,85,10,260.8,0,,447,70704000,38286000,39648000,26448000,66.71,27110.43,100946.56
2512210,Wayland,Large Suburb,5,2695,0,3,141,70,216,12.48,110,3,898.33,3,898.33,429,64825000,34624000,38083000,24942000,65.49,24053.8,115472.22
2512240,Webster,Large Suburb,3,1831,2,8,89,38,139,13.17,45,3,610.33,1,1831.0,269,36301000,17967000,18902000,11981000,63.38,19825.78,86194.24
2512270,Wellesley,Large Suburb,10,4963,8,20,245,119,394,12.6,239,14,354.5,7,709.0,854,119338000,66683000,70987000,48376000,68.15,24045.54,122781.73
2512300,Wellfleet,Rural (fringe),1,105,1,1,10,0,13,8.08,7,0,,0,,30,3952000,2040000,2278000,1376000,60.4,37638.1,105846.15
2512390,West Boylston,Large Suburb,2,890,2,4,28,47,82,10.85,24,3,296.67,0,,135,18247000,11015000,10036000,7543000,75.16,20502.25,91987.8
2512420,West Bridgewater,Large Suburb,4,1352,2,6,33,47,89,15.19,32,3,450.67,0,,158,20658000,11996000,12240000,8121000,66.35,15279.59,91247.19
2512510,West Springfield,Large Suburb,10,4113,6,18,208,93,326,12.62,152,9,457.0,2,2056.5,603,69814000,38342000,38416000,27459000,71.48,16973.98,84230.06
2512570,Tisbury,Town (fringe),1,297,0,2,34,0,37,8.03,24,2,148.5,1,297.0,77,10875000,6674000,6011000,4357000,72.48,36616.16,117756.76
2512600,Westborough,Large Suburb,6,3925,10,21,205,89,327,12.0,117,14,280.36,4,981.25,578,90735000,44879000,45734000,31826000,69.59,23117.2,97327.22
2512630,Westfield,Large Suburb,11,5327,8,22,233,157,421,12.65,203,12,443.92,3,1775.67,784,93089000,53363000,52051000,36248000,69.64,17474.94,86099.76
2512660,Westford,Large Suburb,10,5069,8,15,222,118,364,13.93,144,18,281.61,6,844.83,671,86613000,51637000,52849000,36817000,69.66,17086.8,101145.6
2512690,Westhampton,Rural (fringe),1,121,1,1,11,0,13,9.31,10,0,,0,,28,3257000,1677000,1515000,1127000,74.39,26917.36,86692.31
2512750,Weston,Large Suburb,5,2103,3,6,97,69,175,12.02,57,7,300.43,2,1051.5,357,65190000,33071000,35839000,22167000,61.85,30998.57,126668.57
2512780,Westport,Large Suburb,3,1438,2,7,50,50,111,12.95,42,4,359.5,1,1438.0,225,35960000,15628000,15902000,11163000,70.2,25006.95,100567.57
2512810,Westwood,Large Suburb,8,3084,3,12,148,78,242,12.74,88,9,342.67,7,440.57,491,66433000,39726000,42477000,29097000,68.5,21541.18,120235.54
2512840,Weymouth,Large Suburb,12,5857,11,19,256,141,428,13.68,189,10,585.7,1,5857.0,808,113476000,59631000,61472000,40986000,66.67,19374.42,95761.68
