lea_id,district_name,urban_centric_locale,number_of_schools_in_district,enrollment,pre_k_teachers,kindergarten_teachers,elementary_teachers,secondary_teachers,total_teachers,student_teacher_ratio,instructional_aides,guidance_counselors,student_guidance_counselor_ratio,librarian_total,student_librarian_ratio,total_staff,district_expense_total,expenses_for_instruction,salaries_total,salaries_instruction,instruction_salary_percent_of_total,per_student_expenditure,per_teacher_salary_expenses
5680250,Region V BOCES,Rural (distant),1,59,0,0,0,11,11,5.36,15,4,14.75,0,-999,50,-2,-2,-2,-2,100,-0.03,-0.18
5680180,Northeast Wyoming BOCES,Town (remote),1,29,0,0,0,6,6,4.83,0,0,-999,0,-999,8,-2,-2,-2,-2,100,-0.07,-0.33
5606240,Washakie County School District #1,Town (remote),5,1272,0,6,48,49,103,12.35,44,5,254.4,1,1272,241,24250000,13454000,12229000,8150000,66.64,19064.47,79126.21
5606090,Weston County School District #7,Rural (remote),3,223,0,1,8,17,27,8.26,8,1,223,1,223,61,6588000,3134000,3089000,1912000,61.9,29542.6,70814.81
5605830,Teton County School District #1,Rural (fringe),10,2881,0,11,121,103,235,12.26,48,8,360.13,3,960.33,462,65828000,32894000,32338000,21525000,66.56,22849.01,91595.74
5605820,Washakie County School District #2,Rural (remote),1,108,0,1,4,9,15,7.2,3,1,108,0,-999,32,3441000,1763000,1677000,1026000,61.18,31861.11,68400
5605762,Sweetwater County School District #2,Town (remote),10,2544,0,9,96,86,192,13.25,80,7,363.43,1,2544,455,45914000,23326000,24731000,15400000,62.27,18047.96,80208.33
5605700,Fremont County School District #24,Rural (remote),3,392,0,2,16,15,34,11.53,10,1,392,0,-999,82,8559000,3870000,4486000,2500000,55.73,21834.18,73529.41
5605695,Sheridan County School District #2,Town (remote),10,3532,0,18,120,118,257,13.74,70,11,321.09,2,1766,539,57602000,31081000,29101000,19941000,68.52,16308.61,77591.44
5605690,Sheridan County School District #1,Rural (distant),8,1018,0,5,32,40,77,13.22,11,2,509,0,-999,154,17215000,8137000,8072000,5097000,63.14,16910.61,66194.81
5605680,Sheridan County School District #3,Rural (remote),2,93,0,0,6,8,15,6.2,3,1,93,0,-999,35,3866000,1793000,1770000,1119000,63.22,41569.89,74600
5605302,Sweetwater County School District #1,Town (remote),17,5438,0,20,217,156,394,13.8,96,15,362.53,3,1812.67,821,86723000,44844000,48031000,30931000,64.4,15947.59,78505.08
5605220,Fremont County School District #25,Town (remote),8,2439,0,14,78,81,174,14.02,94,5,487.8,1,2439,461,46063000,24135000,23535000,14508000,61.64,18886.02,83379.31
5605160,Park County School District # 1,Town (remote),7,1848,0,8,66,57,132,14,57,5,369.6,2,924,315,31265000,18120000,18075000,12028000,66.54,16918.29,91121.21
5605090,Platte County School District #1,Town (remote),11,1014,0,5,47,54,107,9.48,28,4,253.5,0,-999,237,25391000,11997000,10899000,7275000,66.75,25040.43,67990.65
5604860,Sublette County School District #1,Rural (remote),5,1115,0,5,33,41,79,14.11,27,2,557.5,1,1115,174,21573000,10741000,10322000,6424000,62.24,19347.98,81316.46
5604830,Weston County School District #1,Town (remote),4,792,0,4,31,37,73,10.85,24,3,264,1,792,160,14743000,7826000,8182000,5255000,64.23,18614.9,71986.3
5604510,Natrona County School District #1,Small City,28,13382,9,59,403,419,891,15.02,221,32,418.19,6,2230.33,2041,213388000,124750000,112633000,76416000,67.85,15945.9,85764.31
5604500,Uinta County School District #4,Rural (remote),2,839,0,3,31,33,67,12.52,17,2,419.5,0,-999,141,13912000,7859000,8088000,5287000,65.37,16581.64,78910.45
5604450,Fremont County School District #14,Rural (distant),3,662,0,0,32,30,63,10.51,23,4,165.5,1,662,150,18519000,9486000,9030000,5794000,64.16,27974.32,91968.25
5604380,Park County School District #16,Rural (remote),1,116,1,1,5,9,16,7.25,3,0,-999,0,-999,33,3435000,1819000,1756000,1048000,59.68,29612.07,65500
5604260,Uinta County School District #6,Rural (remote),3,727,0,4,24,27,56,12.98,31,1,727,0,-999,146,13812000,6081000,7384000,3902000,52.84,18998.62,69678.57
5604230,Niobrara County School District #1,Rural (remote),4,809,0,2,23,37,62,13.05,14,2,404.5,0,-999,113,12645000,7995000,5931000,4113000,69.35,15630.41,66338.71
5604120,Laramie County School District #2,Rural (distant),6,1051,0,7,44,44,95,11.06,38,2,525.5,0,-999,209,21623000,10472000,10253000,6633000,64.69,20573.74,69821.05
5604060,Lincoln County School District #2,Rural (remote),9,2917,0,13,98,83,195,14.96,98,1,2917,1,2917,457,48031000,27593000,24835000,17543000,70.64,16465.89,89964.1
5604030,Lincoln County School District #1,Rural (fringe),4,583,0,4,19,19,42,13.88,23,2,291.5,0,-999,112,12386000,5335000,5314000,3265000,61.44,21245.28,77738.1
5603770,Johnson County School District #1,Rural (fringe),5,1306,0,7,48,58,114,11.46,25,4,326.5,1,1306,239,24501000,12345000,13026000,8193000,62.9,18760.34,71868.42
5603310,Hot Springs County School District #1,Town (remote),3,641,0,2,25,26,54,11.87,17,2,320.5,0,-999,138,11944000,6072000,6608000,3940000,59.62,18633.39,72962.96
5603180,Platte County School District #2,Rural (remote),3,255,0,2,12,13,27,9.44,9,0,-999,1,255,63,6286000,3265000,3191000,1955000,61.27,24650.98,72407.41
5603170,Big Horn County School District #3,Rural (remote),3,466,0,3,15,26,45,10.36,19,3,155.33,1,466,108,10922000,5367000,5649000,3649000,64.6,23437.77,81088.89
